tecnica,puntos,escala,ec_costo
ataque extra,100,1,10
ataque extra,200,2,10
ataque extra,300,3,10
ataque extra,400,4,10
ataque extra,500,5,10
ataque extra,600,6,10
ataque extra,700,7,10
ataque extra,800,8,10
ataque extra,900,9,10
ataque extra,1000,10,20
ataque extra,1100,1,20
ataque extra,1200,2,20
ataque extra,1300,3,20
ataque extra,1400,4,20
ataque extra,1500,5,20
ataque extra,1600,6,20
ataque extra,1700,7,20
ataque extra,1800,8,20
ataque extra,1900,9,30
ataque extra,2000,10,30
ataque extra,2100,1,30
tecnica extra,100,1,20
tecnica extra,200,2,20
tecnica extra,300,3,20
tecnica extra,400,4,20
tecnica extra,500,5,20
tecnica extra,600,6,20
tecnica extra,700,7,20
tecnica extra,800,8,30
tecnica extra,900,9,30
tecnica extra,1000,10,30
tecnica extra,1100,1,30
tecnica extra,1200,2,30
tecnica extra,1300,3,30
tecnica extra,1400,4,30
tecnica extra,1500,5,40
tecnica extra,1600,6,40
tecnica extra,1700,7,40
tecnica extra,1800,8,40
tecnica extra,1900,9,40
tecnica extra,2000,10,40
tecnica extra,2100,1,40
ataque reductor,100,1,40
ataque reductor,200,2,40
ataque reductor,300,3,40
ataque reductor,400,4,40
ataque reductor,500,5,40
ataque reductor,600,6,50
ataque reductor,700,7,50
ataque reductor,800,8,50
ataque reductor,900,9,50
ataque reductor,1000,10,50
ataque reductor,1100,1,60
ataque reductor,1200,2,60
ataque reductor,1300,3,60
ataque reductor,1400,4,60
ataque reductor,1500,5,60
ataque reductor,1600,6,70
ataque reductor,1700,7,70
ataque reductor,1800,8,70
ataque reductor,1900,9,70
ataque reductor,2000,10,70
ataque reductor,2100,1,80
ataque directo,100,1,30
ataque directo,200,2,30
ataque directo,300,3,30
ataque directo,400,4,30
ataque directo,500,5,30
ataque directo,600,6,30
ataque directo,700,7,40
ataque directo,800,8,40
ataque directo,900,9,40
ataque directo,1000,10,40
ataque directo,1100,1,40
ataque directo,1200,2,40
ataque directo,1300,3,50
ataque directo,1400,4,50
ataque directo,1500,5,50
ataque directo,1600,6,50
ataque directo,1700,7,50
ataque directo,1800,8,50
ataque directo,1900,9,60
ataque directo,2000,10,60
ataque directo,2100,1,60
ataque negador,100,1,30
ataque negador,200,2,30
ataque negador,300,3,30
ataque negador,400,4,30
ataque negador,500,5,30
ataque negador,600,6,30
ataque negador,700,7,40
ataque negador,800,8,40
ataque negador,900,9,40
ataque negador,1000,10,40
ataque negador,1100,1,40
ataque negador,1200,2,40
ataque negador,1300,3,50
ataque negador,1400,4,50
ataque negador,1500,5,50
ataque negador,1600,6,50
ataque negador,1700,7,50
ataque negador,1800,8,50
ataque negador,1900,9,60
ataque negador,2000,10,60
ataque negador,2100,1,60
efecto especial,100,1,500
efecto especial,200,2,500
efecto especial,300,3,500
efecto especial,400,4,500
efecto especial,500,5,500
efecto especial,600,6,510
efecto especial,700,7,510
efecto especial,800,8,510
efecto especial,900,9,510
efecto especial,1000,10,510
efecto especial,1100,1,520
efecto especial,1200,2,520
efecto especial,1300,3,520
efecto especial,1400,4,520
efecto especial,1500,5,520
efecto especial,1600,6,530
efecto especial,1700,7,530
efecto especial,1800,8,530
efecto especial,1900,9,530
efecto especial,2000,10,530
efecto especial,2100,1,540
ataque basico,100,1,
ataque basico,200,2,
ataque basico,300,3,
ataque basico,400,4,
ataque basico,500,5,
ataque basico,600,6,
ataque basico,700,7,
ataque basico,800,8,
ataque basico,900,9,
ataque basico,1000,10,
ataque basico,1100,1,
ataque basico,1200,2,
ataque basico,1300,3,
ataque basico,1400,4,
ataque basico,1500,5,
ataque basico,1600,6,
ataque basico,1700,7,
ataque basico,1800,8,
ataque basico,1900,9,
ataque basico,2000,10,
ataque basico,2100,1,
defensa extra,100,1,10
defensa extra,200,2,10
defensa extra,300,3,10
defensa extra,400,4,10
defensa extra,500,5,10
defensa extra,600,6,10
defensa extra,700,7,10
defensa extra,800,8,10
defensa extra,900,9,10
defensa extra,1000,10,20
defensa extra,1100,1,20
defensa extra,1200,2,20
defensa extra,1300,3,20
defensa extra,1400,4,20
defensa extra,1500,5,20
defensa extra,1600,6,20
defensa extra,1700,7,20
defensa extra,1800,8,20
defensa extra,1900,9,30
defensa extra,2000,10,30
defensa extra,2100,1,30
defensa reductora,100,1,40
defensa reductora,200,2,40
defensa reductora,300,3,40
defensa reductora,400,4,40
defensa reductora,500,5,40
defensa reductora,600,6,50
defensa reductora,700,7,50
defensa reductora,800,8,50
defensa reductora,900,9,50
defensa reductora,1000,10,50
defensa reductora,1100,1,60
defensa reductora,1200,2,60
defensa reductora,1300,3,60
defensa reductora,1400,4,60
defensa reductora,1500,5,60
defensa reductora,1600,6,70
defensa reductora,1700,7,70
defensa reductora,1800,8,70
defensa reductora,1900,9,70
defensa reductora,2000,10,70
defensa reductora,2100,1,80
defensa basica,100,1,
defensa basica,200,2,
defensa basica,300,3,
defensa basica,400,4,
defensa basica,500,5,
defensa basica,600,6,
defensa basica,700,7,
defensa basica,800,8,
defensa basica,900,9,
defensa basica,1000,10,
defensa basica,1100,1,
defensa basica,1200,2,
defensa basica,1300,3,
defensa basica,1400,4,
defensa basica,1500,5,
defensa basica,1600,6,
defensa basica,1700,7,
defensa basica,1800,8,
defensa basica,1900,9,
defensa basica,2000,10,
defensa basica,2100,1,
defensa reflectora,100,1,50
defensa reflectora,200,2,50
defensa reflectora,300,3,50
defensa reflectora,400,4,50
defensa reflectora,500,5,60
defensa reflectora,600,6,60
defensa reflectora,700,7,60
defensa reflectora,800,8,60
defensa reflectora,900,9,70
defensa reflectora,1000,10,70
defensa reflectora,1100,1,70
defensa reflectora,1200,2,70
defensa reflectora,1300,3,80
