GUID, Name, Version, Location
aa2g.kant.rim.remover, Rim Remover, 1.2, BepInEx\plugins\KK_RimRemover.dll
com.bepis.bepinex.extendedsave, Extended Save, 21.0, BepInEx\plugins\KK_BepisPlugins\ExtensibleSaveFormat.dll
gravydevsupreme.xunity.resourceredirector, XUnity Resource Redirector, 2.1.0, BepInEx\plugins\XUnity.ResourceRedirector\XUnity.ResourceRedirector.BepInEx.dll
com.bepis.bepinex.sideloader, Sideloader, 21.0, BepInEx\plugins\KK_BepisPlugins\Sideloader.dll
com.joan6694.illusionplugins.moreaccessories, MoreAccessories, 2.0.21.1, BepInEx\plugins\MoreAccessories.dll
marco.kkapi, Modding API, 1.42.2, BepInEx\plugins\KKAPI.dll
Accessory_Parents, Accessory Parents, 1.6, BepInEx\plugins\KK_Accessory_Parents.dll
Accessory_Shortcuts, Accessory Shortcuts, 1.6, BepInEx\plugins\KK_Accessory_Shortcuts.dll
Accessory_States, Accessory States, 1.6, BepInEx\plugins\KK_Accessory_States.dll
Additional_Card_Info, Additional Card Info, 1.5, BepInEx\plugins\KK_Additional_Card_Info.dll
Accessory_Themes, Accessory Themes, 1.6, BepInEx\plugins\KK_Accessory_Themes.dll
KSOX, Skin Overlay Mod, 7.0.2, BepInEx\plugins\OverlayMods\KK_OverlayMods.dll
com.bepis.bepinex.configurationmanager, Configuration Manager, 18.4.1, BepInEx\plugins\ConfigurationManager\ConfigurationManager.dll
com.deathweasel.bepinex.uncensorselector, Uncensor Selector, 3.12.3, BepInEx\plugins\KK_Plugins\KK_UncensorSelector.dll
com.rclcircuit.bepinex.modboneimplantor, Mod Bone Implantor, 1.1.2, BepInEx\plugins\ModBoneImplantor.dll
animal42069.KKbetterpenetration, KK Better Penetration, 4.5.5.2, BepInEx\plugins\KK_BetterPenetration.dll
Autostart, Autostart, 1.0.0, BepInEx\plugins\KK_Autostart.dll
BepInEx.EnableFullScreenToggle, Enable Full Screen Toggle, 1.0, BepInEx\plugins\BepInEx.EnableFullScreenToggle.dll
BepInEx.EnableResize, Enable Resize, 3.0, BepInEx\plugins\BepInEx.EnableResize.dll
BepInEx.InputHotkeyBlock, Input Hotkey Block, 1.4, BepInEx\plugins\BepInEx.InputHotkeyBlock.dll
BepInEx.MuteInBackground, Mute In Background, 1.1, BepInEx\plugins\BepInEx.MuteInBackground.dll
BepInEx.OptimizeIMGUI, Optimize IMGUI GC allocations, 1.0, BepInEx\plugins\BepInEx.OptimizeIMGUI.dll
bero.crossfader, CrossFader, 0.11, BepInEx\plugins\CrossFader.dll
Boop, Boop, 2.1, BepInEx\plugins\KK_Plugins\KK_Boop.dll
KKABMX.Core, KKABMX (BonemodX), 5.2.5, BepInEx\plugins\KKABMX.dll
Bulge, Bulge in the pants, tent in the woods, 1.0.2, BepInEx\plugins\KK_Bulge.dll
Card_Update_Tool, Card Update Tool, 1.2, BepInEx\plugins\KK_CardUpdateTool.dll
CatchUnityEventExceptions, Catch Unity Event Exceptions, 1.0, BepInEx\plugins\BepInEx.CatchUnityEventExceptions.dll
RuntimeUnityEditor, Runtime Unity Editor, 6.1, BepInEx\plugins\RuntimeUnityEditor\RuntimeUnityEditor.Bepin5.dll
CheatTools, Cheat Tools, 3.6, BepInEx\plugins\KK_CheatTools.dll
ClothColliders, Cloth colliders support, 1.1, BepInEx\plugins\KK_ClothColliders.dll
ClothesToAccessories, Clothes To Accessories, 1.1.2, BepInEx\plugins\KK_Plugins\KK_ClothesToAccessories.dll
ClothingStateMenu, Clothing State Menu, 5.2, BepInEx\plugins\ClothingStateMenu\KK_ClothingStateMenu.dll
com.bepis.bepinex.colorcorrector, Color Filter Remover, 21.0, BepInEx\plugins\KK_BepisPlugins\ColorCorrector.dll
com.bepis.bepinex.inputunlocker, Input Length Unlocker, 21.0, BepInEx\plugins\KK_BepisPlugins\InputUnlocker.dll
com.bepis.bepinex.screenshotmanager, Screenshot Manager, 21.0, BepInEx\plugins\KK_BepisPlugins\Screencap.dll
com.bepis.bepinex.sliderunlocker, Slider Unlocker, 21.0, BepInEx\plugins\KK_BepisPlugins\SliderUnlocker.dll
com.bepis.bgmloader, BGM Loader, 21.0, BepInEx\plugins\KK_BepisPlugins\BGMLoader.dll
com.bepis.messagecenter, Message Center, 1.1.1.1, BepInEx\plugins\BepInEx.MessageCenter.dll
com.cptgrey.bepinex.uniform, KK Uniform Uniforms, 1.1, BepInEx\plugins\KK_UniformUniforms.dll
com.deathweasel.bepinex.accessoryclothes, Accessory Clothes, 1.0.2, BepInEx\plugins\KK_Plugins\KK_AccessoryClothes.dll
com.deathweasel.bepinex.accessoryquickremove, Accessory Quick Remove, 1.0, BepInEx\plugins\KK_Plugins\KK_AccessoryQuickRemove.dll
com.deathweasel.bepinex.autosave, Autosave, 1.2, BepInEx\plugins\KK_Plugins\KK_Autosave.dll
com.deathweasel.bepinex.characterexport, Character Export, 1.0, BepInEx\plugins\KK_Plugins\KK_CharacterExport.dll
com.deathweasel.bepinex.charamakerloadedsound, Character Maker Loaded Sound, 1.0, BepInEx\plugins\KK_Plugins\KK_CharaMakerLoadedSound.dll
com.deathweasel.bepinex.clothingunlocker, Clothing Unlocker, 2.0.2, BepInEx\plugins\KK_Plugins\KK_ClothingUnlocker.dll
com.deathweasel.bepinex.colliders, Colliders, 1.3.1, BepInEx\plugins\KK_Plugins\KK_Colliders.dll
com.deathweasel.bepinex.dynamicboneeditor, Dynamic Bone Editor, 1.0.5, BepInEx\plugins\KK_Plugins\KK_DynamicBoneEditor.dll
com.deathweasel.bepinex.eyecontrol, Eye Control, 1.0.1, BepInEx\plugins\KK_Plugins\KK_EyeControl.dll
com.deathweasel.bepinex.eyeshaking, Eye Shaking, 1.3.1, BepInEx\plugins\KK_Plugins\KK_EyeShaking.dll
com.deathweasel.bepinex.fadeadjuster, Fade Adjuster, 1.0.3, BepInEx\plugins\KK_Plugins\KK_FadeAdjuster.dll
com.deathweasel.bepinex.forcehighpoly, Force High Poly, 2.1, BepInEx\plugins\KK_Plugins\KK_ForceHighPoly.dll
com.deathweasel.bepinex.freehrandom, Free H Random, 1.4, BepInEx\plugins\KK_Plugins\KK_FreeHRandom.dll
com.deathweasel.bepinex.hairaccessorycustomizer, Hair Accessory Customizer, 1.1.7, BepInEx\plugins\KK_Plugins\KK_HairAccessoryCustomizer.dll
com.deathweasel.bepinex.hcharaadjustment, H Character Adjustment, 2.1, BepInEx\plugins\KK_Plugins\KK_HCharaAdjustment.dll
com.deathweasel.bepinex.invisiblebody, Invisible Body, 1.4, BepInEx\plugins\KK_Plugins\KK_InvisibleBody.dll
com.deathweasel.bepinex.itemblacklist, Item Blacklist, 3.0.1, BepInEx\plugins\KK_Plugins\KK_ItemBlacklist.dll
com.deathweasel.bepinex.lightingtweaks, Lighting Tweaks, 1.1, BepInEx\plugins\KK_Plugins\KK_LightingTweaks.dll
com.deathweasel.bepinex.listoverride, List Override, 1.0, BepInEx\plugins\KK_Plugins\KK_ListOverride.dll
com.deathweasel.bepinex.makerdefaults, Maker Defaults, 1.1, BepInEx\plugins\KK_Plugins\KK_MakerDefaults.dll
com.deathweasel.bepinex.malejuice, Male Juice, 1.3, BepInEx\plugins\KK_Plugins\KK_MaleJuice.dll
com.deathweasel.bepinex.materialeditor, Material Editor, 3.13.1, BepInEx\plugins\KK_Plugins\KK_MaterialEditor.dll
com.deathweasel.bepinex.materialeditor.maker, Material Editor Maker, 3.13.1, BepInEx\plugins\KK_Plugins\KK_MaterialEditor.dll
com.deathweasel.bepinex.moreoutfits, More Outfit Slots, 1.1.3, BepInEx\plugins\KK_Plugins\KK_MoreOutfits.dll
com.deathweasel.bepinex.profile, Profile, 1.0.3, BepInEx\plugins\KK_Plugins\KK_Profile.dll
com.deathweasel.bepinex.pushup, Pushup, 1.4.0, BepInEx\plugins\KK_Plugins\KK_Pushup.dll
com.deathweasel.bepinex.randomcharactergenerator, Random Character Generator, 2.0, BepInEx\plugins\KK_Plugins\KK_RandomCharacterGenerator.dll
com.deathweasel.bepinex.reloadcharalistonchange, Reload Character List On Change, 1.5.2, BepInEx\plugins\KK_Plugins\KK_ReloadCharaListOnChange.dll
com.deathweasel.bepinex.shaderswapper, Shader Swapper, 1.7, BepInEx\plugins\KK_Plugins\KK_ShaderSwapper.dll
com.deathweasel.bepinex.subtitles, Subtitles, 2.3.2, BepInEx\plugins\KK_Plugins\KK_Subtitles.dll
gravydevsupreme.xunity.autotranslator, XUnity Auto Translator, 5.4.5, BepInEx\plugins\XUnity.AutoTranslator\XUnity.AutoTranslator.Plugin.BepInEx.dll
com.deathweasel.bepinex.textresourceredirector, Text Resource Redirector, 1.4.4.3, BepInEx\plugins\TranslationTools\KK_TextResourceRedirector.dll
